<doc title="COMMUNITY FIGHT: Baytown battling opioid crisis together through 'O Team' initiative" url="https://abc13.co/2U8tQTQ" genre="N/A" domain="N/A" country="United States of America" city="N/A" content_source="EventRegistry" document_source="abc13.com" time_of_publication="2019-03-01" month_of_publication="2019-03" time_of_crawling="2019-03" primary_doc_id="6186bfa5f1e34b178fc6ffb726dfbefe">
<s>
BAYTOWN	BAYTOWN	BAYTOWN	NNP	BAYTOWN-e
,	,	,	,	,-x
"	''	''	''	''-x
Wilson	Wilson	Wilson	NNP	Wilson-e
said	said	say	VBD	say-v
.	.	.	.	.-x
</s>
<s>
One	One	one	CD	one-f
major	major	major	JJ	major-j
issue	issue	issue	NN	issue-n
in	in	in	IN	in-i
combating	combating	combate	VBG	combate-v
the	the	the	DT	the-d
problem	problem	problem	NN	problem-n
,	,	,	,	,-x
according	according	accord	VBG	accord-v
to	to	to	TO	to-t
Wilson	Wilson	Wilson	NNP	Wilson-e
,	,	,	,	,-x
is	is	be	VBZ	be-v
the	the	the	DT	the-d
lack	lack	lack	NN	lack-n
of	of	of	IN	of-i
support	support	support	NN	support-n
and	and	and	CC	and-c
treatment	treatment	treatment	NN	treatment-n
services	services	service	NNS	service-n
.	.	.	.	.-x
</s>
<s>
Cease	Cease	cease	VB	cease-v
Addiction	Addiction	addiction	NN	addiction-n
Now	Now	now	RB	now-r
has	has	have	VBZ	have-v
been	been	be	VBN	be-v
operating	operating	operate	VBG	operate-v
since	since	since	IN	since-i
2007	2007	2007	CD	2007-f
and	and	and	CC	and-c
is	is	be	VBZ	be-v
headed	headed	head	VBN	head-v
up	up	up	RP	up-x
by	by	by	IN	by-i
John	John	John	NNP	John-e
Havenar	Havenar	Havenar	NNP	Havenar-e
,	,	,	,	,-x
another	another	another	DT	another-d
strong	strong	strong	JJ	strong-j
voice	voice	voice	NN	voice-n
in	in	in	IN	in-i
the	the	the	DT	the-d
community	community	community	NN	community-n
calling	calling	call	VBG	call-v
for	for	for	IN	for-i
more	more	more	JJR	more-j
support	support	support	NN	support-n
and	and	and	CC	and-c
funding	funding	funding	NN	funding-n
to	to	to	TO	to-t
expand	expand	expand	VB	expand-v
the	the	the	DT	the-d
"	``	``	``	``-x
O	O	O	NNP	O-e
Team	Team	Team	NNP	Team-e
.	.	.	.	.-x
"	''	''	''	''-x
</s>
<s>
"	``	``	``	``-x
If	If	if	IN	if-i
you	you	you	PRP	you-p
want	want	want	VBP	want-v
to	to	to	TO	to-t
help	help	help	VB	help-v
,	,	,	,	,-x
get	get	get	VB	get-v
your	your	you	PRP$	you-p
community	community	community	NN	community-n
involved	involved	involve	VBN	involve-v
,	,	,	,	,-x
"	''	''	''	''-x
Havenar	Havenar	Havenar	NNP	Havenar-e
said	said	say	VBD	say-v
.	.	.	.	.-x
</s>
<s>
The	The	the	DT	the-d
team	team	team	NN	team-n
focuses	focuses	focus	VBZ	focus-v
on	on	on	IN	on-i
four	four	four	CD	four-f
things	things	thing	NNS	thing-n
:	:	:	:	:-x
Education	Education	Education	NNP	Education-e
,	,	,	,	,-x
Communication	Communication	Communication	NNP	Communication-e
,	,	,	,	,-x
Rehabilitation	Rehabilitation	Rehabilitation	NNP	Rehabilitation-e
,	,	,	,	,-x
and	and	and	CC	and-c
Collaboration	Collaboration	Collaboration	NNP	Collaboration-e
.	.	.	.	.-x
</s>
<s>
The	The	the	DT	the-d
list	list	list	NN	list-n
of	of	of	IN	of-i
community	community	community	NN	community-n
partners	partners	partner	NNS	partner-n
growing	growing	grow	VBG	grow-v
includes	includes	include	VBZ	include-v
Lee	Lee	Lee	NNP	Lee-e
College	College	College	NNP	College-e
,	,	,	,	,-x
Goose	Goose	Goose	NNP	Goose-e
Creek	Creek	Creek	NNP	Creek-e
CISD	CISD	CISD	NNP	CISD-e
,	,	,	,	,-x
Baytown	Baytown	Baytown	NNP	Baytown-e
Police	Police	Police	NNP	Police-e
Department	Department	Department	NNP	Department-e
and	and	and	CC	and-c
EMS	EMS	EMS	NNP	EMS-e
and	and	and	CC	and-c
Houston	Houston	Houston	NNP	Houston-e
Methodist	Methodist	Methodist	NNP	Methodist-e
.	.	.	.	.-x
</s>
<s>
The	The	the	DT	the-d
hope	hope	hope	NN	hope-n
is	is	be	VBZ	be-v
that	that	that	IN	that-i
more	more	more	JJR	more-j
money	money	money	NN	money-n
and	and	and	CC	and-c
funding	funding	funding	NN	funding-n
can	can	can	MD	can-v
help	help	help	VB	help-v
their	their	they	PRP$	they-p
operation	operation	operation	NN	operation-n
expand	expand	expand	VB	expand-v
to	to	to	TO	to-t
serve	serve	serve	VB	serve-v
more	more	more	RBR	more-r
in	in	in	IN	in-i
need	need	need	NN	need-n
of	of	of	IN	of-i
help	help	help	NN	help-n
.	.	.	.	.-x
</s>
<s>
For	For	for	IN	for-i
more	more	more	JJR	more-j
information	information	information	NN	information-n
visit	visit	visit	NN	visit-n
www.ceaseaddictionnow.org	www.ceaseaddictionnow.org	www.ceaseaddictionnow.org	NN	www.ceaseaddictionnow.org-n
.	.	.	.	.-x
</s>
</doc>
<doc title="Impossible for Pakistan to Integrate AIM-20 Missile with Chinese JF-17: Air Marshal SBP Sinha | LatestLY" url="https://www.latestly.com/agency-news/impossible-for-pakistan-to-integrate-aim-20-missile-with-chinese-jf-17-air-marshal-sbp-sinha-670221.html" genre="N/A" domain="N/A" country="India" city="N/A" content_source="EventRegistry" document_source="latestly.com" time_of_publication="2019-03-01" month_of_publication="2019-03" time_of_crawling="2019-03" primary_doc_id="e2a3fe4c20b54bce973eea2208f5ac4f">
<s>
New	New	New	NNP	New-e
Delhi	Delhi	Delhi	NNP	Delhi-e
[	-LSB-	-lsb-	-LRB-	-lsb--x
India	India	India	NNP	India-e
]	-RSB-	-rsb-	-RRB-	-rsb--x
,	,	,	,	,-x
Mar	Mar	Mar	NNP	Mar-e
1	1	1	CD	1-f
(	-LRB-	-lrb-	-LRB-	-lrb--x
ANI	ANI	ani	NN	ani-n
)	-RRB-	-rrb-	-RRB-	-rrb--x
:	:	:	:	:-x
At	At	at	IN	at-i
a	a	a	DT	a-d
time	time	time	NN	time-n
when	when	when	WRB	when-r
India	India	India	NNP	India-e
exposed	exposed	expose	VBD	expose-v
Pakistani	Pakistani	pakistani	JJ	pakistani-j
lies	lies	lie	NNS	lie-n
on	on	on	IN	on-i
not	not	not	RB	not-r
using	using	use	VBG	use-v
F-16	F-16	f-16	NN	f-16-n
fighters	fighters	fighter	NNS	fighter-n
for	for	for	IN	for-i
attacking	attacking	attack	VBG	attack-v
Indian	Indian	indian	JJ	indian-j
positions	positions	position	NNS	position-n
in	in	in	IN	in-i
Nowshera	Nowshera	Nowshera	NNP	Nowshera-e
sector	sector	sector	NN	sector-n
by	by	by	IN	by-i
producing	producing	produce	VBG	produce-v
evidence	evidence	evidence	NN	evidence-n
in	in	in	IN	in-i
form	form	form	NN	form-n
of	of	of	IN	of-i
remains	remains	remains	NNS	remains-n
of	of	of	IN	of-i
the	the	the	DT	the-d
AIM-20	AIM-20	aim-20	NN	aim-20-n
air	air	air	NN	air-n
to	to	to	TO	to-t
air	air	air	NN	air-n
missile	missile	missile	NN	missile-n
fired	fired	fire	VBN	fire-v
by	by	by	IN	by-i
the	the	the	DT	the-d
Pakistani	Pakistani	Pakistani	NNP	Pakistani-e
planes	planes	plane	NNS	plane-n
,	,	,	,	,-x
experts	experts	expert	NNS	expert-n
said	said	say	VBD	say-v
it	it	it	PRP	it-p
is	is	be	VBZ	be-v
not	not	not	RB	not-r
possible	possible	possible	JJ	possible-j
that	that	that	IN	that-i
the	the	the	DT	the-d
missile	missile	missile	NN	missile-n
could	could	could	MD	could-v
have	have	have	VB	have-v
fired	fired	fire	VBN	fire-v
from	from	from	IN	from-i
a	a	a	DT	a-d
Chinese	Chinese	chinese	JJ	chinese-j
JF-17	JF-17	jf-17	NN	jf-17-n
plane	plane	plane	NN	plane-n
that	that	that	WDT	that-d
is	is	be	VBZ	be-v
in	in	in	IN	in-i
the	the	the	DT	the-d
Pakistan	Pakistan	Pakistan	NNP	Pakistan-e
Air	Air	Air	NNP	Air-e
Force	Force	Force	NNP	Force-e
inventory	inventory	inventory	NN	inventory-n
.	.	.	.	.-x
"	``	``	``	``-x
The	The	the	DT	the-d
</s>
<s>
Americans	Americans	Americans	NNPS	Americans-e
had	had	have	VBD	have-v
provided	provided	provide	VBN	provide-v
them	them	they	PRP	they-p
with	with	with	IN	with-i
the	the	the	DT	the-d
missiles	missiles	missile	NNS	missile-n
under	under	under	IN	under-i
a	a	a	DT	a-d
Foreign	Foreign	foreign	JJ	foreign-j
Military	Military	Military	NNP	Military-e
Sales	Sales	sale	NNS	sale-n
deal	deal	deal	VBP	deal-v
to	to	to	TO	to-t
the	the	the	DT	the-d
Pakistanis	Pakistanis	Pakistanis	NNPS	Pakistanis-e
for	for	for	IN	for-i
the	the	the	DT	the-d
F-16	F-16	f-16	NN	f-16-n
planes	planes	plane	NNS	plane-n
.	.	.	.	.-x
</s>
<s>
There	There	there	EX	there-r
is	is	be	VBZ	be-v
no	no	no	DT	no-d
way	way	way	NN	way-n
that	that	that	IN	that-i
the	the	the	DT	the-d
Pakistanis	Pakistanis	Pakistanis	NNPS	Pakistanis-e
could	could	could	MD	could-v
have	have	have	VB	have-v
integrated	integrated	integrate	VBN	integrate-v
the	the	the	DT	the-d
missile	missile	missile	NN	missile-n
with	with	with	IN	with-i
a	a	a	DT	a-d
Chinese-origin	Chinese-origin	chinese-origin	JJ	chinese-origin-j
plane	plane	plane	NN	plane-n
such	such	such	JJ	such-j
as	as	as	IN	as-i
the	the	the	DT	the-d
JF-17	JF-17	jf-17	NN	jf-17-n
,	,	,	,	,-x
"	''	''	''	''-x
Air	Air	Air	NNP	Air-e
Marshal	Marshal	Marshal	NNP	Marshal-e
(	-LRB-	-lrb-	-LRB-	-lrb--x
retd	retd	retd	NN	retd-n
)	-RRB-	-rrb-	-RRB-	-rrb--x
SBP	SBP	SBP	NNP	SBP-e
Sinha	Sinha	Sinha	NNP	Sinha-e
said.The	said.The	said.The	NNP	said.The-e
former	former	former	JJ	former-j
senior	senior	senior	JJ	senior-j
IAF	IAF	iaf	NN	iaf-n
officer	officer	officer	NN	officer-n
said	said	say	VBD	say-v
the	the	the	DT	the-d
missiles	missiles	missile	NNS	missile-n
had	had	have	VBD	have-v
been	been	be	VBN	be-v
given	given	give	VBN	give-v
to	to	to	TO	to-t
the	the	the	DT	the-d
Pakistanis	Pakistanis	Pakistanis	NNPS	Pakistanis-e
for	for	for	IN	for-i
their	their	they	PRP$	they-p
fight	fight	fight	NN	fight-n
against	against	against	IN	against-i
terrorists	terrorists	terrorist	NNS	terrorist-n
during	during	during	IN	during-i
the	the	the	DT	the-d
war	war	war	NN	war-n
on	on	on	IN	on-i
terror	terror	terror	NN	terror-n
after	after	after	IN	after-i
the	the	the	DT	the-d
US	US	US	NNP	US-e
had	had	have	VBD	have-v
attacked	attacked	attack	VBN	attack-v
Afghanistan	Afghanistan	Afghanistan	NNP	Afghanistan-e
to	to	to	TO	to-t
hunt	hunt	hunt	NN	hunt-n
Osama	Osama	Osama	NNP	Osama-e
Bin	Bin	Bin	NNP	Bin-e
Laden	Laden	Laden	NNP	Laden-e
and	and	and	CC	and-c
the	the	the	DT	the-d
Taliban	Taliban	Taliban	NNP	Taliban-e
.	.	.	.	.-x
"	``	``	``	``-x
The	The	the	DT	the-d
</s>
<s>
integration	integration	integration	NN	integration-n
of	of	of	IN	of-i
missiles	missiles	missile	NNS	missile-n
with	with	with	IN	with-i
aircraft	aircraft	aircraft	NN	aircraft-n
is	is	be	VBZ	be-v
a	a	a	DT	a-d
very	very	very	RB	very-r
complex	complex	complex	JJ	complex-j
system	system	system	NN	system-n
and	and	and	CC	and-c
there	there	there	EX	there-r
is	is	be	VBZ	be-v
no	no	no	DT	no-d
way	way	way	NN	way-n
the	the	the	DT	the-d
Americans	Americans	Americans	NNPS	Americans-e
would	would	would	MD	would-v
allow	allow	allow	VB	allow-v
the	the	the	DT	the-d
Chinese	Chinese	chinese	JJ	chinese-j
to	to	to	TO	to-t
get	get	get	VB	get-v
into	into	into	IN	into-i
their	their	they	PRP$	they-p
missiles	missiles	missile	NNS	missile-n
'	'	'	POS	'-p
software	software	software	NN	software-n
,	,	,	,	,-x
"	''	''	''	''-x
he	he	he	PRP	he-p
said.IAF	said.IAF	said.iaf	NN	said.iaf-n
officials	officials	official	NNS	official-n
said	said	say	VBD	say-v
the	the	the	DT	the-d
AIM-20	AIM-20	aim-20	NN	aim-20-n
was	was	be	VBD	be-v
fired	fired	fire	VBN	fire-v
at	at	at	IN	at-i
the	the	the	DT	the-d
Indian	Indian	indian	JJ	indian-j
MiG-21	MiG-21	mig-21	NN	mig-21-n
flown	flown	fly	VBN	fly-v
by	by	by	IN	by-i
Wing	Wing	wing	NN	wing-n
Commander	Commander	Commander	NNP	Commander-e
Abhinandan	Abhinandan	Abhinandan	NNP	Abhinandan-e
Varthaman	Varthaman	Varthaman	NNP	Varthaman-e
and	and	and	CC	and-c
one	one	one	CD	one-f
of	of	of	IN	of-i
them	them	they	PRP	they-p
missed	missed	miss	VBD	miss-v
its	its	its	PRP$	its-p
target	target	target	NN	target-n
and	and	and	CC	and-c
fell	fell	fall	VBD	fall-v
down	down	down	RP	down-x
in	in	in	IN	in-i
the	the	the	DT	the-d
Indian	Indian	indian	JJ	indian-j
side	side	side	NN	side-n
in	in	in	IN	in-i
the	the	the	DT	the-d
Rajouri	Rajouri	Rajouri	NNP	Rajouri-e
sector.The	sector.The	sector.the	NN	sector.the-n
AIM-20	AIM-20	aim-20	NN	aim-20-n
is	is	be	VBZ	be-v
an	an	a	DT	a-d
air-to-air	air-to-air	air-to-air	JJ	air-to-air-j
missile	missile	missile	NN	missile-n
manufactured	manufactured	manufacture	VBN	manufacture-v
by	by	by	IN	by-i
Raytheon	Raytheon	Raytheon	NNP	Raytheon-e
corporation	corporation	corporation	NN	corporation-n
of	of	of	IN	of-i
the	the	the	DT	the-d
United	United	United	NNP	United-e
States	States	States	NNPS	States-e
and	and	and	CC	and-c
is	is	be	VBZ	be-v
available	available	available	JJ	available-j
for	for	for	IN	for-i
sale	sale	sale	NN	sale-n
to	to	to	TO	to-t
foreign	foreign	foreign	JJ	foreign-j
countries	countries	country	NNS	country-n
only	only	only	RB	only-r
through	through	through	IN	through-i
government	government	government	NN	government-n
to	to	to	TO	to-t
government	government	government	NN	government-n
deals	deals	deal	NNS	deal-n
.	.	.	.	.-x
</s>
</doc>
<doc title="Tavares gets hostile reaction in return to Long Island" url="http://northeastnow.com/2019/02/28/tavares-gets-hostile-reaction-in-return-to-long-island/" genre="N/A" domain="N/A" country="" city="N/A" content_source="EventRegistry" document_source="northeastnow.com" time_of_publication="2019-03-01" month_of_publication="2019-03" time_of_crawling="2019-03" primary_doc_id="ed6692c265b345118e045e0fe10308d1">
<s>
The	The	the	DT	the-d
boos	boos	boo	NNS	boo-n
and	and	and	CC	and-c
chants	chants	chant	NNS	chant-n
returned	returned	return	VBD	return-v
when	when	when	WRB	when-r
the	the	the	DT	the-d
Maple	Maple	Maple	NNP	Maple-e
Leafs	Leafs	Leafs	NNPS	Leafs-e
came	came	come	VBD	come-v
back	back	back	RB	back-r
on	on	on	IN	on-i
the	the	the	DT	the-d
ice	ice	ice	NN	ice-n
for	for	for	IN	for-i
the	the	the	DT	the-d
game	game	game	NN	game-n
,	,	,	,	,-x
and	and	and	CC	and-c
also	also	also	RB	also-r
when	when	when	WRB	when-r
Tavares	Tavares	Tavares	NNP	Tavares-e
entered	entered	enter	VBD	enter-v
play	play	play	NN	play-n
in	in	in	IN	in-i
the	the	the	DT	the-d
opening	opening	opening	NN	opening-n
minute	minute	minute	NN	minute-n
.	.	.	.	.-x
</s>
<s>
Fans	Fans	fan	NNS	fan-n
also	also	also	RB	also-r
booed	booed	boo	VBD	boo-v
during	during	during	IN	during-i
a	a	a	DT	a-d
video	video	video	NN	video-n
tribute	tribute	tribute	NN	tribute-n
to	to	to	TO	to-t
Tavares	Tavares	Tavares	NNP	Tavares-e
midway	midway	midway	NN	midway-n
through	through	through	IN	through-i
the	the	the	DT	the-d
first	first	first	JJ	first-j
period	period	period	NN	period-n
,	,	,	,	,-x
and	and	and	CC	and-c
again	again	again	RB	again-r
loudly	loudly	loudly	RB	loudly-r
chanting	chanting	chant	VBG	chant-v
"	``	``	``	``-x
We	We	we	PRP	we-p
do	do	do	VBP	do-v
n't	n't	not	RB	not-r
need	need	need	VB	need-v
you	you	you	PRP	you-p
!	!	!	.	!-x
"	''	''	''	''-x
as	as	as	IN	as-i
the	the	the	DT	the-d
video	video	video	NN	video-n
ended	ended	end	VBD	end-v
.	.	.	.	.-x
</s>
</doc>
<doc title="Bergeron's peers rank his all-around skills" url="https://www.nbcsports.com/boston/bruins/bruins-patrice-bergeron-receives-huge-praise-nhl-peers-latest-player-poll" genre="N/A" domain="N/A" country="United States of America" city="N/A" content_source="EventRegistry" document_source="nbcsports.com" time_of_publication="2019-03-01" month_of_publication="2019-03" time_of_crawling="2019-03" primary_doc_id="683159c11f164b038fa7dbe0c6f73c3a">
<s>
Bergeron	Bergeron	Bergeron	NNP	Bergeron-e
has	has	have	VBZ	have-v
never	never	never	RB	never-r
been	been	be	VBN	be-v
a	a	a	DT	a-d
finalist	finalist	finalist	NN	finalist-n
for	for	for	IN	for-i
the	the	the	DT	the-d
Hart	Hart	Hart	NNP	Hart-e
Trophy	Trophy	trophy	NN	trophy-n
--	--	--	:	---x
the	the	the	DT	the-d
NHL	NHL	nhl	NN	nhl-n
's	's	's	POS	's-p
Most	Most	most	JJS	most-j
Valuable	Valuable	Valuable	NNP	Valuable-e
Player	Player	Player	NNP	Player-e
award	award	award	NN	award-n
.	.	.	.	.-x
</s>
<s>
The	The	the	DT	the-d
first	first	first	JJ	first-j
question	question	question	NN	question-n
listed	listed	list	VBN	list-v
was	was	be	VBD	be-v
"	``	``	``	``-x
Who	Who	who	WP	who-p
is	is	be	VBZ	be-v
the	the	the	DT	the-d
best	best	best	JJS	best-j
all-around	all-around	all-around	JJ	all-around-j
player	player	player	NN	player-n
in	in	in	IN	in-i
the	the	the	DT	the-d
NHL	NHL	nhl	NN	nhl-n
today	today	today	NN	today-n
?	?	?	.	?-x
"	''	''	''	''-x
</s>
<s>
Bergeron	Bergeron	Bergeron	NNP	Bergeron-e
yet	yet	yet	RB	yet-r
again	again	again	RB	again-r
is	is	be	VBZ	be-v
a	a	a	DT	a-d
prime	prime	prime	JJ	prime-j
candidate	candidate	candidate	NN	candidate-n
for	for	for	IN	for-i
the	the	the	DT	the-d
Selke	Selke	Selke	NNP	Selke-e
Trophy	Trophy	trophy	NN	trophy-n
--	--	--	:	---x
an	an	a	DT	a-d
award	award	award	NN	award-n
he	he	he	PRP	he-p
's	's	be	VBZ	be-v
won	won	win	VBN	win-v
four	four	four	CD	four-f
times	times	time	NNS	time-n
,	,	,	,	,-x
tied	tied	tie	VBN	tie-v
with	with	with	IN	with-i
Montreal	Montreal	Montreal	NNP	Montreal-e
's	's	's	POS	's-p
Bob	Bob	Bob	NNP	Bob-e
Gainey	Gainey	Gainey	NNP	Gainey-e
for	for	for	IN	for-i
the	the	the	DT	the-d
most	most	most	RBS	most-r
in	in	in	IN	in-i
history	history	history	NN	history-n
.	.	.	.	.-x
</s>
</doc>
<doc title="Green waste dumped in Healesville | Mountain Views Mail" url="https://mountainviews.mailcommunity.com.au/news/2019-03-01/green-waste-dumped-in-healesville/" genre="N/A" domain="N/A" country="Australia" city="N/A" content_source="EventRegistry" document_source="mountainviews.mailcommunity.com.au" time_of_publication="2019-03-01" month_of_publication="2019-03" time_of_crawling="2019-03" primary_doc_id="e699af92a45a496fb97192e9b7f04a6f">
<s>
Healesville	Healesville	Healesville	NNP	Healesville-e
Environment	Environment	Environment	NNP	Environment-e
Watch	Watch	Watch	NNP	Watch-e
Inc.	Inc.	Inc.	NNP	Inc.-e
(	-LRB-	-lrb-	-LRB-	-lrb--x
HEWI	HEWI	HEWI	NNP	HEWI-e
)	-RRB-	-rrb-	-RRB-	-rrb--x
urges	urges	urge	VBZ	urge-v
residents	residents	resident	NNS	resident-n
to	to	to	TO	to-t
dispose	dispose	dispose	VB	dispose-v
of	of	of	IN	of-i
their	their	they	PRP$	they-p
green	green	green	JJ	green-j
waste	waste	waste	NN	waste-n
in	in	in	IN	in-i
a	a	a	DT	a-d
responsible	responsible	responsible	JJ	responsible-j
manner	manner	manner	NN	manner-n
.	.	.	.	.-x
</s>
<s>
This	This	this	DT	this-d
comes	comes	come	VBZ	come-v
after	after	after	IN	after-i
the	the	the	DT	the-d
environmental	environmental	environmental	JJ	environmental-j
volunteer	volunteer	volunteer	NN	volunteer-n
group	group	group	NN	group-n
found	found	find	VBD	find-v
large	large	large	JJ	large-j
piles	piles	pile	NNS	pile-n
of	of	of	IN	of-i
green	green	green	JJ	green-j
waste	waste	waste	NN	waste-n
dumped	dumped	dump	VBN	dump-v
by	by	by	IN	by-i
the	the	the	DT	the-d
Wallace	Wallace	Wallace	NNP	Wallace-e
Parade	Parade	Parade	NNP	Parade-e
Bridge	Bridge	Bridge	NNP	Bridge-e
in	in	in	IN	in-i
Healesville	Healesville	Healesville	NNP	Healesville-e
.	.	.	.	.-x
</s>
<s>
The	The	the	DT	the-d
waste	waste	waste	NN	waste-n
included	included	include	VBD	include-v
branches	branches	branch	NNS	branch-n
,	,	,	,	,-x
palm	palm	palm	NN	palm-n
fronds	fronds	frond	NNS	frond-n
and	and	and	CC	and-c
Agapanthus	Agapanthus	Agapanthus	NNP	Agapanthus-e
as	as	as	RB	as-r
well	well	well	RB	well-r
as	as	as	IN	as-i
an	an	a	DT	a-d
abandoned	abandoned	abandon	VBN	abandon-v
tyre	tyre	tyre	NN	tyre-n
.	.	.	.	.-x
</s>
<s>
HEWI	HEWI	hewi	NN	hewi-n
states	states	state	NNS	state-n
that	that	that	WDT	that-d
large	large	large	JJ	large-j
amounts	amounts	amount	NNS	amount-n
of	of	of	IN	of-i
green	green	green	JJ	green-j
waste	waste	waste	NN	waste-n
dumped	dumped	dump	VBN	dump-v
in	in	in	IN	in-i
waterways	waterways	waterway	NNS	waterway-n
can	can	can	MD	can-v
rot	rot	rot	NN	rot-n
in	in	in	IN	in-i
the	the	the	DT	the-d
water	water	water	NN	water-n
and	and	and	CC	and-c
decrease	decrease	decrease	VB	decrease-v
the	the	the	DT	the-d
oxygen	oxygen	oxygen	NN	oxygen-n
available	available	available	JJ	available-j
to	to	to	TO	to-t
native	native	native	JJ	native-j
plant	plant	plant	NN	plant-n
